"","token","pt0","pt1","pt2","pt3","pt4","pt5"
"55","sex",0.000212922457512291,9.02738909852493e-05,0.000114051094890511,6.93421166681113e-05,0.00022212350066637,7.72961796363215e-05
"56","change",0.000212922457512291,0.00018056408219277,9.775648858693e-05,0.000190713963729672,8.32847505621721e-05,0.00021259325113061
"57","surgeries.",1.93528409970584e-05,5.41623788116774e-05,1.62914209377342e-05,1.7334627652198e-05,2.77600421952641e-05,1.93229247178853e-05
"58","The",0.00332025940740165,0.00473417859280623,0.00451666748490353,0.00417761840937179,0.00264410364886304,0.00409374878739669
"59","economic",0.000367832113679483,0.000252807974285817,0.000342231348391513,0.000312115274574743,8.32847505621721e-05,0.000135276156611139
"60","turnaround",1.93528409970584e-05,1.80534743911466e-05,3.25833727049087e-05,1.7334627652198e-05,5.55216256731997e-05,3.86465962010396e-05
"61","at",0.00137591566218364,0.00162742757947271,0.0019587679349689,0.00180602587479378,0.00127855911946189,0.00181962484755802
"62","end",0.000212922457512291,0.000234746022860651,0.000211829884308294,0.000242739488513221,0.00022212350066637,0.000173933209647495
"63","my",0.000387199194625675,0.00055996098336374,0.000325929305933543,0.000398848541601637,0.000444345700955343,0.000328591309726303
"64","term.",1.93528409970584e-05,7.22178089116776e-05,4.88758553274682e-05,5.20056859549977e-05,5.55216256731997e-05,7.72961796363215e-05
"65","Chicago",1.93528409970584e-05,3.61076006499368e-05,4.88758553274682e-05,3.46698562934457e-05,5.55216256731997e-05,3.86465962010396e-05
"66","Bears",1.93528409970584e-05,1.80534743911466e-05,1.62914209377342e-05,1.7334627652198e-05,2.77600421952641e-05,3.86465962010396e-05
"67","have",0.00363205531600824,0.00376920846622209,0.00438517548883253,0.00445736771542493,0.00267201068804275,0.00477604985730095
"68","had",0.000755316264476895,0.00124722086654737,0.0010600476206008,0.00116275033841241,0.000889086463658591,0.00133503598792663
"69","more",0.0017059222642241,0.00195354894725418,0.00359694586596472,0.00335675525253931,0.00100033344448149,0.0036653479171515
"70","starting",1.93528409970584e-05,3.61076006499368e-05,6.51688688313593e-05,6.93421166681113e-05,2.77600421952641e-05,5.79710144927536e-05
"71","quarterbacks",1.93528409970584e-05,1.80534743911466e-05,1.62914209377342e-05,1.7334627652198e-05,2.77600421952641e-05,3.86465962010396e-05
"72","last",0.000716554341931985,0.000957733244185836,0.00079890435973522,0.00135390810782663,0.000472130419085178,0.00112196537382726
"73","10",0.000367832113679483,0.000578034682080925,0.000701010759700033,0.000850104094378904,0.000194352666796235,0.000599358106801748
"74","years",0.000987950873658518,0.00110245612766803,0.00114168284050691,0.0010932565161559,0.000361000805309489,0.00106387094278309
"75","than",0.00224993696297302,0.00264272526517757,0.00454954586367728,0.00466728200484143,0.00105596620908131,0.00502971219947955
"76","total",0.000154843704635633,0.000126388011194367,0.00016293809981588,0.000190713963729672,8.32847505621721e-05,0.000251256281407035
"77","number",0.00034846578259607,0.000379259901392426,0.000407444831969751,0.000433546059933407,0.00022212350066637,0.000599358106801748
"78","tenured",1.93528409970584e-05,1.80534743911466e-05,1.62914209377342e-05,3.46698562934457e-05,2.77600421952641e-05,3.86465962010396e-05
"79","(UW)",1.93528409970584e-05,1.80534743911466e-05,1.62914209377342e-05,1.7334627652198e-05,2.77600421952641e-05,3.86465962010396e-05
"80","faculty",1.93528409970584e-05,3.61076006499368e-05,3.25833727049087e-05,5.20056859549977e-05,5.55216256731997e-05,5.79710144927536e-05
"81","fired",3.87064310735229e-05,9.02738909852493e-05,6.51688688313593e-05,3.46698562934457e-05,8.32847505621721e-05,7.72961796363215e-05
"82","during",0.000251645373596593,0.000415394896060973,0.000423749531430807,0.000398848541601637,0.000277669795079691,0.00036726330846252
"83","two",0.000503417429860399,0.000596109033761448,0.000586825761650936,0.000433546059933407,0.000166583374979177,0.000638051044083527
"84","decades.",1.93528409970584e-05,3.61076006499368e-05,3.25833727049087e-05,0.000121355015429423,2.77600421952641e-05,7.72961796363215e-05
"85","Jim",0.000174202539485909,0.000162504739721575,0.000130346232179226,8.66791484640455e-05,5.55216256731997e-05,0.000135276156611139
"86","Dunnam",3.87064310735229e-05,1.80534743911466e-05,1.62914209377342e-05,1.7334627652198e-05,2.77600421952641e-05,1.93229247178853e-05
"87","has",0.00380752569108534,0.00387835731632172,0.00489489882784363,0.00436992931508757,0.00236511867330755,0.00454201362604088
"88","not",0.00201671546859547,0.00211668928086839,0.00190970521986093,0.00211926972049959,0.00136205698401668,0.00178084047927837
"89","lived",5.80607702728856e-05,3.61076006499368e-05,3.25833727049087e-05,1.7334627652198e-05,5.55216256731997e-05,7.72961796363215e-05
"90","district",0.000154843704635633,0.000198624076849461,0.00014664190047903,0.000138693850661396,0.00013881562508676,0.00021259325113061
"91","he",0.00166708666912207,0.00141013125067795,0.00208962533670721,0.00201483334201796,0.00108378491037932,0.00193599597312838
"92","represents",5.80607702728856e-05,3.61076006499368e-05,4.88758553274682e-05,5.20056859549977e-05,8.32847505621721e-05,1.93229247178853e-05
"93","for",0.00681955458566335,0.00723715314397934,0.00703809430062014,0.0065604662118542,0.00415331010452962,0.00594786868038953
"94","now.",5.80607702728856e-05,0.000126388011194367,0.000130346232179226,0.000138693850661396,5.55216256731997e-05,7.72961796363215e-05
"95","I'm",1.93528409970584e-05,5.41623788116774e-05,8.14624132425299e-05,3.46698562934457e-05,8.32847505621721e-05,0.000173933209647495
"96","only",0.000794081189959715,0.001392027478984,0.000929458957049212,0.00151036422346446,0.000638871142468265,0.0012188044109112
"97","person",0.000116128283043335,0.000162504739721575,0.00014664190047903,0.00022539704556488,0.00013881562508676,9.66220916750406e-05
"98","this",0.000832849118729421,0.00122912298459981,0.0014846962083143,0.00151036422346446,0.000638871142468265,0.00149005340970663
"99","stage",1.93528409970584e-05,7.22178089116776e-05,4.88758553274682e-05,0.000104016781374062,2.77600421952641e-05,3.86465962010396e-05
"100","who",0.00157001085439603,0.00122912298459981,0.00125599451929664,0.00156252712720707,0.00119507517856647,0.00143191625224946
"101","worked",7.74158586386421e-05,0.00018056408219277,9.775648858693e-05,0.000138693850661396,8.32847505621721e-05,7.72961796363215e-05
"102","actively",3.87064310735229e-05,3.61076006499368e-05,3.25833727049087e-05,3.46698562934457e-05,5.55216256731997e-05,1.93229247178853e-05
"103","just",0.000445304937076476,0.00068649058785273,0.000929458957049212,0.000745932068140027,0.000499916680553241,0.000676746973974245
"104","year",0.000968560525347229,0.000921559061093945,0.00110902715485607,0.00128438774624664,0.000472130419085178,0.00104450763070852
"105","passing,",1.93528409970584e-05,1.80534743911466e-05,3.25833727049087e-05,1.7334627652198e-05,2.77600421952641e-05,1.93229247178853e-05
"106","along",0.000116128283043335,7.22178089116776e-05,4.88758553274682e-05,8.66791484640455e-05,5.55216256731997e-05,1.93229247178853e-05
"107","Russ",0.000154843704635633,0.000126388011194367,8.14624132425299e-05,5.20056859549977e-05,5.55216256731997e-05,5.79710144927536e-05
"108","Feingold,",1.93528409970584e-05,1.80534743911466e-05,3.25833727049087e-05,3.46698562934457e-05,2.77600421952641e-05,1.93229247178853e-05
"109","some",0.000290371288087034,0.000379259901392426,0.000472666818789321,0.000450895721693287,0.000277669795079691,0.000541324311261479
"110","toughest",1.93528409970584e-05,3.61076006499368e-05,4.88758553274682e-05,3.46698562934457e-05,2.77600421952641e-05,3.86465962010396e-05
"111","ethics",3.87064310735229e-05,7.22178089116776e-05,0.000130346232179226,5.20056859549977e-05,8.32847505621721e-05,3.86465962010396e-05
"112","since",0.000503417429860399,0.000596109033761448,0.000994749029712012,0.0010932565161559,0.000361000805309489,0.00114133168259372
"113","Watergate.",1.93528409970584e-05,1.80534743911466e-05,3.25833727049087e-05,1.7334627652198e-05,2.77600421952641e-05,1.93229247178853e-05
"114","However,",1.93528409970584e-05,1.80534743911466e-05,3.25833727049087e-05,1.7334627652198e-05,2.77600421952641e-05,1.93229247178853e-05
"115","it",0.0018030244280729,0.00197167302787475,0.0019587679349689,0.00182342317310364,0.000944706863017505,0.00158696367401444
"116","$19.5",1.93528409970584e-05,1.80534743911466e-05,3.25833727049087e-05,1.7334627652198e-05,2.77600421952641e-05,1.93229247178853e-05
"117","million",0.00133710565072475,0.00117483326404829,0.00184429574016648,0.00211926972049959,0.000750062505208767,0.00131566218438619
"118","Oregon",0.000116128283043335,0.000216684723726977,0.00014664190047903,0.000312115274574743,0.000111049416990561,0.000289922300823379
"119","Lottery",1.93528409970584e-05,1.80534743911466e-05,3.25833727049087e-05,5.20056859549977e-05,2.77600421952641e-05,1.93229247178853e-05
"120","funds",0.000193562123763622,0.000126388011194367,0.000211829884308294,0.000190713963729672,0.000166583374979177,9.66220916750406e-05
"121","Port",1.93528409970584e-05,3.61076006499368e-05,3.25833727049087e-05,1.7334627652198e-05,2.77600421952641e-05,5.79710144927536e-05
"122","Newport",1.93528409970584e-05,1.80534743911466e-05,3.25833727049087e-05,5.20056859549977e-05,2.77600421952641e-05,3.86465962010396e-05
"123","eventually",1.93528409970584e-05,3.61076006499368e-05,4.88758553274682e-05,3.46698562934457e-05,2.77600421952641e-05,1.93229247178853e-05
"124","land",7.74158586386421e-05,7.22178089116776e-05,0.000130346232179226,8.66791484640455e-05,0.000111049416990561,5.79710144927536e-05
"125","new",0.00073593492785901,0.000867302688638335,0.000962102928706542,0.000745932068140027,0.00080566745381303,0.000521981208676488
"126","NOAA",1.93528409970584e-05,1.80534743911466e-05,3.25833727049087e-05,1.7334627652198e-05,2.77600421952641e-05,1.93229247178853e-05
"127","Marine",3.87064310735229e-05,1.80534743911466e-05,3.25833727049087e-05,3.46698562934457e-05,2.77600421952641e-05,1.93229247178853e-05
"128","Operations",1.93528409970584e-05,1.80534743911466e-05,3.25833727049087e-05,1.7334627652198e-05,2.77600421952641e-05,1.93229247178853e-05
"129","Center-Pacific.",1.93528409970584e-05,1.80534743911466e-05,3.25833727049087e-05,1.7334627652198e-05,2.77600421952641e-05,1.93229247178853e-05
"130","GOP",5.80607702728856e-05,0.000162504739721575,0.00014664190047903,0.000138693850661396,8.32847505621721e-05,0.000135276156611139
"131","primary",1.93528409970584e-05,0.000126388011194367,9.775648858693e-05,0.000121355015429423,0.00013881562508676,0.00015460430959513
"132","opponents",1.93528409970584e-05,5.41623788116774e-05,3.25833727049087e-05,3.46698562934457e-05,5.55216256731997e-05,1.93229247178853e-05
"133","Glenn",5.80607702728856e-05,5.41623788116774e-05,1.62914209377342e-05,3.46698562934457e-05,2.77600421952641e-05,7.72961796363215e-05
"134","Grothman",1.93528409970584e-05,3.61076006499368e-05,1.62914209377342e-05,3.46698562934457e-05,2.77600421952641e-05,1.93229247178853e-05
"135","and",0.00884420148379539,0.00808036689233457,0.0106859419764876,0.00946664800167985,0.00583554376657825,0.00822115290954784
"136","Joe",0.000193562123763622,7.22178089116776e-05,0.00014664190047903,0.000156033287101248,0.00013881562508676,7.72961796363215e-05
"137","Leibham",1.93528409970584e-05,1.80534743911466e-05,1.62914209377342e-05,3.46698562934457e-05,2.77600421952641e-05,1.93229247178853e-05
"138","cast",0.00013548561916928,9.02738909852493e-05,3.25833727049087e-05,8.66791484640455e-05,2.77600421952641e-05,3.86465962010396e-05
"139","a",0.0116884642493539,0.0110981308411215,0.0115020186207465,0.0118214504954836,0.0077207116482041,0.0102877445047437
"140","compromise",5.80607702728856e-05,1.80534743911466e-05,1.62914209377342e-05,5.20056859549977e-05,2.77600421952641e-05,3.86465962010396e-05
"141","vote",0.000522789761065717,0.000415394896060973,0.00016293809981588,0.000520300386756621,0.00013881562508676,0.000502638853983413
"142","cost",0.000522789761065717,0.000650336006936917,0.00060313630880579,0.000624425441867726,0.00022212350066637,0.000289922300823379
"143","$788",1.93528409970584e-05,1.80534743911466e-05,1.62914209377342e-05,3.46698562934457e-05,2.77600421952641e-05,1.93229247178853e-05
"144","higher",0.00030973536984339,0.000306997742663657,0.000488973644320571,0.000381500684967139,8.32847505621721e-05,0.00036726330846252
"145","electricity",1.93528409970584e-05,1.80534743911466e-05,1.62914209377342e-05,6.93421166681113e-05,8.32847505621721e-05,3.86465962010396e-05
"146","costs.",7.74158586386421e-05,7.22178089116776e-05,6.51688688313593e-05,8.66791484640455e-05,2.77600421952641e-05,3.86465962010396e-05
"147","For",0.00013548561916928,0.000288933834151979,0.000325929305933543,0.000329460724813595,0.000166583374979177,0.000193262856811549
"148","first",0.000697174506652207,0.000704568858056474,0.000635758998435055,0.000850104094378904,0.000361000805309489,0.0012188044109112
"149","time",0.000503417429860399,0.000668412970824677,0.000717325029752686,0.000676496097137901,0.000333222259246918,0.0007154458968211
"150","history,",3.87064310735229e-05,7.22178089116776e-05,6.51688688313593e-05,8.66791484640455e-05,2.77600421952641e-05,1.93229247178853e-05
"151","share",1.93528409970584e-05,7.22178089116776e-05,9.775648858693e-05,0.000121355015429423,2.77600421952641e-05,7.72961796363215e-05
"152","national",0.0004065670254782,0.000343127517020931,0.000407444831969751,0.000589714682161131,0.000305445255879821,0.000696096061256453
"153","popular",0.000116128283043335,3.61076006499368e-05,6.51688688313593e-05,0.000138693850661396,8.32847505621721e-05,0.000115948750652212
"154","margin",1.93528409970584e-05,3.61076006499368e-05,4.88758553274682e-05,8.66791484640455e-05,2.77600421952641e-05,3.86465962010396e-05
"155","smaller",5.80607702728856e-05,5.41623788116774e-05,3.25833727049087e-05,0.000121355015429423,8.32847505621721e-05,3.86465962010396e-05
"156","Latino",3.87064310735229e-05,1.80534743911466e-05,4.88758553274682e-05,6.93421166681113e-05,2.77600421952641e-05,7.72961796363215e-05
"157","margin.",1.93528409970584e-05,1.80534743911466e-05,1.62914209377342e-05,3.46698562934457e-05,2.77600421952641e-05,3.86465962010396e-05
"158","Since",0.00023228354077544,0.000126388011194367,0.00052158889015664,0.000398848541601637,8.32847505621721e-05,0.000502638853983413
"159","2000,",1.93528409970584e-05,1.80534743911466e-05,8.14624132425299e-05,5.20056859549977e-05,2.77600421952641e-05,3.86465962010396e-05
"160","nearly",0.00046467501790935,0.000343127517020931,0.000586825761650936,0.000520300386756621,0.000249895876718034,0.000696096061256453
"161","12",0.000116128283043335,0.000126388011194367,0.000260726449068718,0.000173373324780249,8.32847505621721e-05,0.000289922300823379
"162","Americans",0.00046467501790935,0.000505743804638393,0.000929458957049212,0.000989033870072182,0.000333222259246918,0.000502638853983413
"163","slipped",1.93528409970584e-05,1.80534743911466e-05,3.25833727049087e-05,1.7334627652198e-05,2.77600421952641e-05,1.93229247178853e-05
"164","out",0.00114310070910993,0.00126531940276924,0.00123966268125989,0.00107588456799764,0.000722262347908217,0.000986422188696762
"165","middle",0.00027100795601928,0.000108330625067707,0.000211829884308294,0.000121355015429423,0.000277669795079691,9.66220916750406e-05
"166","class",0.000212922457512291,0.000108330625067707,0.000130346232179226,8.66791484640455e-05,0.000111049416990561,0.000135276156611139
"167","into",0.000891006643810409,0.000776888471336429,0.00101107287878541,0.000798015370469962,0.000527704485488127,0.000638051044083527
"168","poverty.",5.80607702728856e-05,1.80534743911466e-05,9.775648858693e-05,0.000104016781374062,2.77600421952641e-05,3.86465962010396e-05
"169","Mitt",0.00034846578259607,0.000288933834151979,0.000505281001434346,0.000485596850557569,0.000194352666796235,0.00044461627682196
"170","Romney",0.0004065670254782,0.000270870578037814,0.000472666818789321,0.00053765305768497,0.000166583374979177,0.000502638853983413
"171","was",0.00281400403664027,0.0036237135816785,0.0030885380919698,0.00276377542151921,0.00208628890928816,0.0030623122395581
"172","governor",0.000116128283043335,0.000379259901392426,0.000293326814959668,0.000312115274574743,0.000194352666796235,0.000347926935343578
"173","Massachusetts,",1.93528409970584e-05,5.41623788116774e-05,4.88758553274682e-05,3.46698562934457e-05,5.55216256731997e-05,7.72961796363215e-05
"174","we",0.00190014541929229,0.00189918063920994,0.00208962533670721,0.00161469546496284,0.000833472245374229,0.0021300079391205
"175","didnt",0.000290371288087034,0.000361193382937225,0.000244427062964411,0.00022539704556488,0.000194352666796235,0.000231924392647997
"176","slow",3.87064310735229e-05,3.61076006499368e-05,3.25833727049087e-05,1.7334627652198e-05,2.77600421952641e-05,1.93229247178853e-05
"177","rate",0.00046467501790935,0.000650336006936917,0.00107637359949117,0.0010932565161559,0.000333222259246918,0.000889628096776065
"178","growth",0.00023228354077544,0.000144446049400549,0.00016293809981588,0.000173373324780249,2.77600421952641e-05,0.00030925643156735
"179","our",0.00174476087082954,0.00162742757947271,0.00217142857142857,0.0021714960739351,0.00108378491037932,0.00195539378920468
"180","government,",1.93528409970584e-05,0.000144446049400549,1.62914209377342e-05,6.93421166681113e-05,2.77600421952641e-05,3.86465962010396e-05
"181","actually",0.000425935606280614,0.000325062303608192,0.000472666818789321,0.000572360205355904,0.000111049416990561,0.00042527691326284
"182","cut",0.000852234209455926,0.000632259696154055,0.00123966268125989,0.000902198240713431,0.000277669795079691,0.000463956388099519
"183","it.",0.000503417429860399,0.000379259901392426,0.000407444831969751,0.000312115274574743,0.000305445255879821,0.000173933209647495
"184","economy",0.00027100795601928,0.000234746022860651,0.0003748370273794,0.000312115274574743,0.000111049416990561,0.000251256281407035
"185","bled",1.93528409970584e-05,1.80534743911466e-05,1.62914209377342e-05,3.46698562934457e-05,2.77600421952641e-05,1.93229247178853e-05
"186","$24",3.87064310735229e-05,1.80534743911466e-05,3.25833727049087e-05,3.46698562934457e-05,2.77600421952641e-05,1.93229247178853e-05
"187","billion",0.00125949465199194,0.0013196189374356,0.0014193422083007,0.000867468207290203,0.000583284726272811,0.00065739863493107
"188","due",7.74158586386421e-05,0.000108330625067707,0.000130346232179226,0.000173373324780249,0.00013881562508676,0.000135276156611139
"189","government",0.000832849118729421,0.00124722086654737,0.000880496991635279,0.000676496097137901,0.000722262347908217,0.000850915701328589
"190","shutdown.",1.93528409970584e-05,3.61076006499368e-05,1.62914209377342e-05,6.93421166681113e-05,2.77600421952641e-05,5.79710144927536e-05
"191","Most",0.000116128283043335,0.000126388011194367,8.14624132425299e-05,0.000173373324780249,2.77600421952641e-05,0.00015460430959513
"192","(Affordable",3.87064310735229e-05,1.80534743911466e-05,1.62914209377342e-05,1.7334627652198e-05,2.77600421952641e-05,1.93229247178853e-05
"193","Care",0.00027100795601928,0.000198624076849461,0.00016293809981588,0.000156033287101248,8.32847505621721e-05,5.79710144927536e-05
"194","Act)",5.80607702728856e-05,1.80534743911466e-05,3.25833727049087e-05,3.46698562934457e-05,2.77600421952641e-05,1.93229247178853e-05
"195","already",0.000329100201331888,0.000288933834151979,0.000244427062964411,0.000190713963729672,0.00013881562508676,0.000251256281407035
"196","sense",5.80607702728856e-05,1.80534743911466e-05,1.62914209377342e-05,3.46698562934457e-05,5.55216256731997e-05,3.86465962010396e-05
"197","been",0.00133710565072475,0.00171799555129573,0.00135399673735726,0.00144082213658299,0.000972519380921948,0.00180023228803717
"198","waived",3.87064310735229e-05,1.80534743911466e-05,3.25833727049087e-05,1.7334627652198e-05,5.55216256731997e-05,1.93229247178853e-05
"199","or",0.00153118579679808,0.00133772009110958,0.00138666840679957,0.00156252712720707,0.000638871142468265,0.00172266955713843
"200","otherwise",3.87064310735229e-05,1.80534743911466e-05,3.25833727049087e-05,1.7334627652198e-05,5.55216256731997e-05,3.86465962010396e-05
"201","suspended.",3.87064310735229e-05,1.80534743911466e-05,3.25833727049087e-05,1.7334627652198e-05,2.77600421952641e-05,1.93229247178853e-05
"202","In",0.00137591566218364,0.0011205494306886,0.00133766170209295,0.00157991596930449,0.000611077162379868,0.00147067360721404
"203","election",5.80607702728856e-05,0.000162504739721575,0.000309627794798253,0.000156033287101248,0.000111049416990561,0.000347926935343578
"204","November,",3.87064310735229e-05,1.80534743911466e-05,3.25833727049087e-05,1.7334627652198e-05,2.77600421952641e-05,1.93229247178853e-05
"205","...",0.000891006643810409,0.00054188793757451,0.00110902715485607,0.000798015370469962,0.000611077162379868,0.00096706187261861
"206","63",5.80607702728856e-05,1.80534743911466e-05,3.25833727049087e-05,1.7334627652198e-05,5.55216256731997e-05,3.86465962010396e-05
"207","percent",0.00238603297769156,0.00226174751660123,0.00369540690354334,0.00443987881742522,0.000972519380921948,0.00401583052031195
"208","American",0.000542162842482331,0.000451532501309444,0.000749955165723788,0.000745932068140027,0.000388780894196057,0.000812206300400302
"209","people",0.0018030244280729,0.00188105918101577,0.00181159420289855,0.00210186214563646,0.00116725029181257,0.00123817446652092
"210","chose",7.74158586386421e-05,5.41623788116774e-05,4.88758553274682e-05,3.46698562934457e-05,2.77600421952641e-05,3.86465962010396e-05
"211","vote,",1.93528409970584e-05,5.41623788116774e-05,6.51688688313593e-05,3.46698562934457e-05,5.55216256731997e-05,1.93229247178853e-05
"212","80",5.80607702728856e-05,9.02738909852493e-05,0.000244427062964411,0.000242739488513221,0.00013881562508676,0.00015460430959513
"213","young",9.67716962142912e-05,0.00018056408219277,0.000228128208052926,0.000121355015429423,5.55216256731997e-05,0.00015460430959513
