"","Labels","Text","Text_Tag"
"49",4," it under obama hillary that the of that cost life ","iraq,military"
"50",5," hillary in that flag ","patriotism"
"51",0," says of romneys deleted that individual be for country ","health-care,states"
"52",0," maggie tuition it highest ","education"
"53",1," says mcauliffe the who the to the ","campaign-finance,ethics,history"
"54",5," we 800000 jobs cut unemployment almost half today york has sector than has had its ","jobs"
"55",0," we towns west that of that to in ","water"
"56",2," in women cents every earned men ","jobs,women"
"57",2," a system employees to in us from percent the up in of percent the ","immigration"
"58",0," they going build wall while not ago in and couldnt ","immigration"
"59",1," sen announced hes his ","elections"
"60",3," in only percent latinos texas registered vote only percent ","elections,population"
"61",1," only percent public schools the offer ","education,health-care"
"62",3," said the republican whos around government ","job-accomplishments"
"63",5," on at kagan a and supreme ruled that was ","education,gays-and-lesbians,kagan-nomination,military,supreme-court"
"64",3," there public teachers texas there in public ","education,message-machine,taxes"
"65",1," under cicilline was sanctuary ","history,homeland-security,immigration,legal-issues,pundits"
"66",4," individuals the have chance murdered ","corrections-and-updates,crime,criminal-justice,sexuality"
"67",5," at capital start early company that michelle ","candidates-biography,job-accomplishments"
"68",1," says man the at in ohio isis with in social ","civil-rights,elections,terrorism"
"69",0," us phil gave government power on without warrant ","criminal-justice,terrorism"
"70",0," alex three of million in to of ","economy,financial-regulation,message-machine"
"71",5," if take population in we net on creation bob became ","jobs"
"72",0," under home in jobs lost the had high rate ","housing,message-machine-2012"
"73",3," the arizona law that police stop who to to of undocumented ","immigration,legal-issues"
"74",3," the time our the has higher this the of war ","debt"
"75",3," the of care now factor the budget ","deficit,federal-budget,health-care"
"76",5," the the in has to the rate now percent ","economy,abc-news-week"
"77",1," on a supreme nominee be at hearings ","kagan-nomination,supreme-court"
"78",0," says of us men a ","poverty,veterans"
"79",1," says supports to medicare program ","health-care,medicare"
"80",2," i it for chinese to larger power in panels manufacturing all europe together the states ","energy"
"81",5," says brown to employers women for control ","health-care,legal-issues,women"
"82",2," at point lives of birth ","sexuality"
"83",1," in past years has in and reform ","foreign-policy,abc-news-week"
"84",1," the of paid to christie the of in ","terrorism,transportation"
"85",5," says rep voted keep shutdown ","federal-budget"
"86",2," in perrys we nurses from countries ","health-care"
"87",3," there a criminal that its crime across lines ","public-health"
"88",3," we a prison 10 between and to up our incarceration of offenders ","crime,criminal-justice"
"89",0," sen tax provides nothing the class ","taxes"
"90",1," austin by fastestgrowing increases any in nation ","city-budget,city-government,taxes"
"91",1," phoenix is no kidnapping of world ","immigration"
"92",5," i to ","candidates-biography,labor"
"93",3," the cant health ","health-care"
"94",2," says found the republican who beat obama texas and eight ","polls"
"95",0," president reagan troops conflict in which in we in in ","foreign-policy,history,military"
"96",0," says supports social ","social-security"
"97",5," did know population is its since depression ","immigration,population"
"98",3," the student florida they pay of at major for is much less what on ","education"
"99",5," since more have from than in the of countrys ","guns"
"100",3," a tax would in could a tax for facing and of who mortgage had through ","housing"
"101",1," the department be to a to a hidden without leaving house ","guns"
"102",4," the is to jobs totaling than jobs the years ","transportation"
"103",3," raising minimum to hour help a americans of ","income,message-machine-2014,poverty"
"104",3," says of john he a to and with communist there and the administration in ","foreign-policy,history,terrorism"
"105",1," is up major im im going get for but was because what was and of ","foreign-policy,military,terrorism"
"106",5," sen has had 100 rating ","abortion"
"107",2," since took investment on states have up million to million ","candidates-biography,economy,pensions,retirement,state-finances,wealth,workers"
"108",5," the debt by than billion day ","deficit,economy,federal-budget"
"109",2," under barack jobs states no have off and ","jobs"
"110",1," of teachers are of teachers are 50 ","education,retirement"
"111",3," twothirds wisconsinites unemployment are to for to work ","government-regulation,jobs,poverty,welfare"
"112",2," under obamas reforms premium average for family by per its up per ","corporations,economy,health-care,public-health,workers"
"113",2," the also liberal groups had in name the was looking everybody ","elections,taxes"
"114",0," says promised would above percent ","jobs"
"115",5," the is jobs the pace 1999 ","economy,jobs"
"116",3," president decided to with minister in york ","foreign-policy,israel,message-machine-2012"
"117",3," in majority states now but still for you ","civil-rights,gays-and-lesbians,states"
"118",4," say reps and are who openly in us ","candidates-biography"
"119",4," is the man bush the ","job-accomplishments"
"120",1," half the have governors of senators ","congress,corrections-and-updates,elections,history,states"
"121",3," vote leave union 24 americans billion our ","economy,retirement"
"122",3," spending by percent the such in years ","medicaid"
"123",5," says texas have in line duty ","crime,criminal-justice,history,public-safety,public-service"
"124",3," gov scott the of college by ","education"
"125",3," the of would million year employees to to own pensions ","jobs,labor,unions"
"126",5," as i and more million and victims this man ","job-accomplishments"
"127",3," you more in by factor than now ","education,technology,women"
"128",1," the force taxpayers fund football ","families,federal-budget,military"
"129",4," barack obama force to islamic law domestic ","islam,message-machine-2012"
"130",2," percent and are with from who legally those ","crime,guns"
"131",3," some schools closing ","education,state-budget"
"132",3," he in he be stronger for than ted ","gays-and-lesbians"
"133",3," the that was the house budgets the ","state-budget,taxes"
"134",0," we almost to 2010 of 700000 jobs seven ","economy,jobs"
"135",5," says us court that security not ","social-security"
"136",1," wants close terrorists to ","congress,terrorism"
"137",5," oregonians way fight with political ","abortion,campaign-finance"
"138",4," the said going in and refugees this ","foreign-policy,immigration,terrorism"
"139",0," research that vast of immigrants because believe government the of and what support ","immigration,pundits"
"140",3," newt plan a to ","immigration"
"141",1," is career who never in sector ","candidates-biography"
"142",0," in island percent workers the disability program year in jersey rate only percent ","disability,labor,states,workers"
"143",3," in 17 spending social health and on debt all revenue ","debt,federal-budget,taxes"
"144",3," president took from street the than ever ","campaign-finance,economy,elections,financial-regulation,history,stimulus,voting-record"
"145",2," donald has nuclear is ","nuclear"
"146",5," hillary has from ","ethics"
"147",1," barack has even in ","candidates-biography"
"148",2," says arizona law bans ","immigration"
"149",1," says rick has for government the guard two on border ","crime,immigration"
"150",0," on va veterans died for ","health-care,veterans"
"151",3," were spending percent our on ","debates,federal-budget,government-efficiency"
"152",0," rob supports medicare ","medicare,message-machine-2012"
"153",1," in dan tried abortions texas ","abortion,corrections-and-updates"
"154",2," we have jobs improving schools ","education,government-efficiency,job-accomplishments,jobs"
"155",4," michigan and no afford program the were high was in ","environment"
"156",5," whether like it not our revenue to ","education,state-budget"
"157",1," im only whos against the ","environment,message-machine"
"158",2," says johnson social a scheme wants privatize program ","crime,debt,federal-budget,social-security"
"159",2," there 31 states 10000 cities have same of that just to house 2 ","gays-and-lesbians,government-regulation,sexuality"
"160",0," climate is related the of ","climate-change,terrorism"
"161",0," the bill president tax ","economy,jobs,taxes,workers"
"162",0," says obama taxpayer on cars and in ","stimulus"
"163",2," while was of she to our because to from library books sarah removed ","civil-rights"
"164",2," if its for to the would 23 violations have higher ","city-government,crime,drugs,government-regulation,marijuana"
"165",1," we more immigrants than did years ","immigration"
"166",0," says wrote letter ","health-care"
"167",1," the and office zero the name ","sports"
"168",4," the health proposals cause americans have premiums not and of of lose current coverage ","health-care,pundits"
"169",3," mexican are than citizens that a ","immigration"
"170",2," says christie a of bills ","jobs"
"171",5," there more jobs the industry in mining ","climate-change,energy,environment,jobs"
"172",2," says bill first the was a that and in ","agriculture,job-accomplishments,message-machine"
"173",2," barack is thats since been of united ","bankruptcy,economy,history,housing,income,job-accomplishments,pundits,abc-news-week,workers"
"174",3," romney to against cities ","immigration"
"175",2," says jersey nearly jobs its and gov christie jersey the of it to for consecutive ","economy,job-accomplishments,jobs"
"176",1," says eric into united with ","ebola,health-care,public-health,transportation"
"177",3," we been afghanistan now we been any land a in nations ","afghanistan"
"178",2," gas have up since took ","energy,gas-prices"
"179",5," webster a to a of that women ","marriage,message-machine,women"
"180",5," says get benefits a cost everybody in state ","pensions"
"181",5," there a of across country have bankrupt ","bankruptcy,economy,gambling,state-budget,state-finances,states"
"182",5," small create percent the in ","economy,jobs,small-business"
"183",2," seniors coverage medicare will up than share of care ","health-care,medicare"
"184",2," school were in it florida nations in ","children,crime,education"
"185",3," if were country would the ","corrections-and-updates,economy,states"
"186",1," there more in in united than rest the combined ","corporations,debt,economy,energy,environment,federal-budget,gas-prices,government-regulation,infrastructure"
"187",2," from poor percent ","financial-regulation"
"188",2," the security fund without it well and that with we pay percent the that have ","social-security"
"189",3," it a voters very the incumbent ohio break pledge vote ted income was on ","elections,taxes"
"190",1," the administration the program of government ","children,crime,federal-budget"
"191",3," the have percent the vote ","religion"
"192",3," we prison with a percentage its behind than other in world ","criminal-justice"
"193",4," says in rep to david that army more on like or in to the ","energy,environment,military"
"194",2," every of republican who a in minimum will a on 1 ","economy,jobs"
"195",5," in the 1 for male many will day ","elections,immigration,pundits"
"196",3," marco voted president to syria used weapons his people ","candidates-biography,congress,foreign-policy,history,terrorism"
"197",1," under for program weve to is to all got is it your and going get ","pundits,transportation"
"198",1," not republican the to that change real ","cap-and-trade,climate-change,debates,economy,energy,environment,government-regulation,jobs,campaign-advertising,polls,public-safety"
"199",2," while people for wages all income to top percent ","economy,income,workers"
"200",4," david has record income ","taxes"
"201",3," point does own they and by such ","environment,income"
"202",0," in past more percent americans changed the in they we be ","afghanistan"
"203",1," in last years people been along border ","crime,homeland-security,immigration"
"204",0," the of has of lowest rates the right and leading in of creation ","economy,jobs"
"205",1," says health law millions to ","health-care,workers"
"206",0," says hasnt the on ","corporations,economy,gays-and-lesbians,state-finances,states"
"207",1," close 30 our prison of immigrants ","immigration"
"208",1," says scott education a of state ","education,state-budget"
"209",1," the research to government is terrorist ","terrorism"
"210",5," says a away care 80000 oregons ","health-care,taxes"
"211",5," says in election gov had largest margin a in ","elections,states"
"212",1," obamacare the tax in ","corrections-and-updates,federal-budget,health-care,taxes"
"213",5," you said barack was to in ","candidates-biography"
"214",3," the male in country not a inflation for years ","economy,jobs,labor,workers"
"215",0," mayor barrett held line property ","job-accomplishments,taxes"
"216",5," im only of house representatives most his funds the election small of than ","campaign-finance"
"217",5," unlike in more 80 of bills passed this assembly bipartisan ","bipartisanship,job-accomplishments"
"218",1," josh is his record rating ohios fund not ","job-accomplishments,message-machine-2012,state-finances"
"219",2," rick took from family land and he trying from ","campaign-finance,environment"
"220",2," on from of ohio would used ","infrastructure,transportation"
"221",3," at of last had budget of billion the i office had deficit trillion projected of trillion the decade ","economy,federal-budget"
"222",2," the has of confirmed four ","legal-issues"
"223",5," us are to trip the ","foreign-policy,religion,terrorism"
"224",0," county paid to a a by david to rather to the ","labor,public-safety"
"225",3," there justice policies director of investigation close election ","criminal-justice,government-regulation"
"226",5," have more at privatesector ","economy,history,workers"
"227",5," joe voted the gulf he the he to iraq ","iraq"
"228",0," says made clear rather the than barack ","bipartisanship"
"229",2," percent the people 21 of the in that the before bush president ","taxes"
"230",2," went at every day the kagan there ","kagan-nomination,military,abc-news-week"
"231",3," says under perrys texas cut for schools 25 ","children,education,state-budget,state-finances"
"232",2," says perdue to the department education would georgia billion year millions student ","education,federal-budget"
"233",3," the ryan proposal privatize ","federal-budget,health-care,medicare"
"234",3," high students on are as not graduate four less to if in ","criminal-justice,education"
"235",2," the states more any in world ","criminal-justice"
"236",4," says rubio the for open ","immigration"
"237",3," 30 spending education grown percent scores flat ","education,federal-budget"
"238",0," says to affect who paid we for ","federal-budget,health-care,medicare"
"239",0," david is thousands dollars support republican candidates john and abbott ","bipartisanship,campaign-finance,candidates-biography"
"240",5," the healthcare 18 of national nobody is ","federal-budget,health-care"
"241",1," port miles to than other port ","economy,infrastructure,trade,transportation"
"242",5," says need to in ","elections,legal-issues"
"243",3," twenty of in is ","housing,infrastructure,taxes,urban"
"244",3," says the tax to would up estimated jobs ","taxes"
"245",2," hillary supported and china lost of ","foreign-policy"
"246",2," studies shown these righttowork not jobs economic ","jobs,unions"
"247",5," obamas plan take debt to 80 of national historically been 40 ","federal-budget"
"248",0," says clinton the affairs is she she with was on ","veterans"
"249",1," we have health costs to lowest been 50 ","health-care"
"250",2," president obamas response we the was say this the of ","homeland-security,terrorism,abc-news-week"
"251",2," says sherrod that billion law and republicans to americans he claims his bill enough lower ","stimulus,taxes"
"252",3," in a of got and had pay top rate 90 ","taxes"
"253",3," the have been a but universal was fast ","corrections-and-updates,guns,homeland-security"
"254",0," percent the people say to american ","iraq"
"255",1," have legal to health law they the that health law unconstitutional ","health-care,supreme-court"
"256",2," says chris proposal reduce income would the tax for rich the in years ","taxes"
"257",5," warren still support ","economy"
"258",5," says was of republicans voted president obamas bill ","candidates-biography,jobs"
"259",1," a in murphy has registered in community the showed voted ","elections"
"260",3," people were unemployment i office not unemployment ","economy,workers"
"261",0," person was to whether not patient would or ","children,health-care,public-health,pundits"
"262",4," voted favor amnesty illegal ","immigration"
"263",1," law will to obamacare of ","criminal-justice,health-care,legal-issues,privacy"
"264",5," his as he crime drop the levels more 25 ","crime"
"265",4," barack university says was foreign and by ","corrections-and-updates,obama-birth-certificate"
"266",0," john of richest in filled millionaires the to housing is people get second and ","economy"
"267",1," terry wants raise taxes to for promises ","education,state-budget,taxes"
"268",2," at clinton top made average while made from ","candidates-biography,women,workers"
"269",3," since violence women was in of violence by percent ","crime,criminal-justice,women"
"270",2," says law cut of christmas by him 30 of ","crime,homeland-security,legal-issues,terrorism,abc-news-week"
"271",2," on illegal ","immigration"
"272",5," nearly of in us ","abortion,census,children,families,health-care,public-health,women"
"273",2," we for oil the and ","energy"
"274",2," says are for on around lake now under that is to ","housing"
"275",2," since president the we lost million in sector you whos and not today public weve public jobs ","economy,federal-budget"
"276",1," the 1 pay half the revenue this ","taxes"
"277",0," the the four between things headed we them the four is total in property ","state-budget,state-finances,taxes"
"278",2," chris has increased taxes anyone ","taxes"
"279",0," the states not a through and a legally the ","agriculture,immigration,workers"
"280",1," says never he keep funding same ","education,state-budget"
"281",5," since college nationwide gone something four the of ","education"
"282",2," says rob said would not cut ","medicare"
"283",3," most if all the school in or under ","education"
"284",1," palin for in ","israel"
"285",0," says sherrod voted block production taxes ","energy,message-machine-2012,taxes"
"286",0," says shaheen for that have to new tax ","energy,taxes,voting-record"
"287",2," washington had of in country they them ","crime,criminal-justice,drugs,government-regulation,guns,public-safety"
"288",3," seven before obama republicans democrats tried health to americans ","health-care,history"
"289",1," while a to penalties discrimination sen said didnt women in but at and and babies ","jobs,legal-issues,women"
"290",1," if put billion revenue 10 by buffett into you create infrastructure ","economy,federal-budget,jobs,transportation"
"291",4," what the collective for group believe or a ","animals,congress,history,polls"
"292",5," i said many the that made the system africanamerican latino ","economy"
"293",3," starting december 14 jobs created texas that period rest the lost jobs ","job-accomplishments,jobs"
"294",0," the reform which passed year made more to because increased for ","economy,health-care"
"295",0," the the budget has that will 800000 ","economy,health-care"
"296",0," thompson against on and anything would our system ","legal-issues"
"297",4," texas fiscal will more in than other states ","state-budget,state-finances,states"
"298",1," on the reserve ","energy"
"299",3," immigrants more ","immigration"
"300",3," the education will cut teachers ","education"
"301",4," the of people is the as was the were in ","health-care,states"
"302",3," firearms are 40 since passed law ","civil-rights,crime,guns"
"303",1," of percent women abortion not have abortion seeing ","abortion,children,families,health-care,women"
"304",4," we less defense as of than any since ","federal-budget"
"305",3," if got of income today have as revenue we 10 ago ","taxes"
"306",2," says walker to common of control the ","abortion,message-machine"
"307",1," jason supports plan the suspected to ","terrorism"
"308",2," county im gave schools the of ","education,infrastructure"
"309",2," top officials member congress the were to attacked a way of from and ","iraq,terrorism"
"310",5," have been with residents atlanta absolutely ","housing"
"311",5," in mitt the daughter a at capital ","candidates-biography"
"312",0," mike and pelosi the year no increases social ","message-machine,social-security"
"313",0," the is to the to into bank with health bill make without it ","health-care,pundits"
"314",2," there in to the ","infrastructure"
"315",0," the people obamacare the ","health-care"
"316",2," report gop on to security of those are by ","federal-budget,social-security"
"317",5," nobody played and of obama if a to fight a ","candidates-biography,pundits"
"318",4," the of island want marriage ","civil-rights,gays-and-lesbians,marriage,polls"
"319",2," rep medicare lines of companies costs seniors does reduce deficit ","deficit,federal-budget,medicare,taxes"
"320",0," this in connie has almost of ","candidates-biography"
"321",0," of drop of school to or a ","corrections-and-updates,education"
"322",0," not personnel president ","history,military"
"323",5," if governor as as to it still workers off sector ","labor,pundits,state-budget,abc-news-week"
"324",0," you get but than people that have able a ","guns,terrorism"
"325",1," percent republicans the care ","health-care,polls"
"326",2," for on programs almost in costs the ","crime,economy,education,poverty"
"327",2," the government trillion we pay bills ","debt,federal-budget"
"328",1," says sink florida by ","corporations"
"329",0," 40 of and banks loan to businesses been since has ","financial-regulation"
"330",0," you a book a ","legal-issues"
"331",4," says took off new ","religion"
"332",3," could a per ","sports"
"333",1," hillary supports abortion demand until of abortion taxpayer ","abortion"
"334",5," under that the house who legal could state to schools ","autism,children,disability,education,families,immigration,state-budget,state-finances"
"335",3," we from million in last months the administration almost sector in first months the ","economy,government-efficiency,job-accomplishments"
"336",2," the ohio just the rating of funds ","economy,job-accomplishments,state-finances"
"337",2," taxpayers on hook for than of new stadium those are from that from ","sports,state-finances"
"338",3," in last months have more million last they the jobs ","corrections-and-updates,economy,jobs"
"339",2," every more million leaving for star ","economy"
"340",3," a loan the loan the states you rates ","debt,economy,education"
"341",3," the of has passed resolution to a ","history"
"342",3," we than and is because ","immigration"
"343",2," recent reports the states the among nations k12 achievement ","education"
"344",5," says million in country a job million a 47 people government to themselves 15 families more the of home ","economy"
"345",2," the that the made us large to that are today mass ","criminal-justice"
"346",0," says average income 50 his as governor ","income,state-budget"
"347",2," they to us million build highspeed that miles hour ","infrastructure,stimulus,transportation"
"348",2," says cbo that the tax would million in and million in ","economy,taxes"
"349",5," president did the ceiling times w did seven ","bipartisanship,federal-budget"
"350",2," to the american 22 of income taxes richest americans 16 of income taxes ","pundits,taxes"
"351",1," most americans now not by ","health-care"
"352",3," in the income for percent all tax today corporate in than percent ","corporations,taxes"
"353",5," the 10 texas 33 of net jobs ","economy,job-accomplishments,jobs"
"354",4," says of for were conservative ","taxes"
"355",4," in class at university was of members that and was and they with ","foreign-policy,history"
"356",2," last the state of by perrys voted thomas from studies standards right jefferson deleted a of who political ","education"
"357",0," as us with and is the 1 but paid percent taxes year ","income,taxes"
"358",5," you we just now truth the is we today would year year get troops of ","iraq"
"359",2," from the 14 increased net by than billion the budget not these to penny deficit ","federal-budget,taxes,wealth"
"360",2," says while was rick was in florida of because was that the that name it ","florida,states"
"361",3," says gets more spending it in ","federal-budget,pundits,taxes"
"362",1," cell numbers public month ","consumer-safety"
"363",0," says has million savings 2011 million savings the 25 in with of ","city-budget,labor,state-budget"
"364",1," clackamas approved agreement lower countys to light project million million ","county-budget,county-government,debt,transportation"
"365",3," says has different you commit ","crime,criminal-justice,food-safety"
"366",1," the administration our ","welfare"
"367",5," electric sales georgia since tax was and annual fee 1 ","state-budget,taxes,transportation"
"368",2," the training deal million new investment the ","city-government,job-accomplishments"
"369",2," the budget would nearly million ","economy,federal-budget,jobs"
"370",2," there more in country were born than in of country ","immigration"
"371",2," says clinton president as at start that war ","foreign-policy"
"372",2," the services losses from 2006 that billion year post revenue the is to billions into ","federal-budget"
"373",3," as as department bills been because opposition amendments would flag at building shops ","congress,federal-budget,history"
"374",4," shes for tax the class small ","taxes"
"375",0," now the of we 40 jobs that passed almost of have bipartisan ","bipartisanship,jobs"
"376",4," lee texas all its for to and the generation your on ","candidates-biography,diversity,campaign-advertising"
"377",0," republican business cut spends million google not creation ","small-business,taxes"
"378",3," a state would the of in wisconsin fill and with waste ","environment"
"379",0," is of nations the ","taxes"
"380",1," if were country be wealthiest in world ","corrections-and-updates,economy,poverty"
"381",2," since took the election graduation in has from percent percent black rate gone 60 to percent latino rate gone 65 to percent ","education"
"382",0," it been that 40 of guns in are by either or shows ","guns"
"383",5," 2008 the year the in for ","afghanistan,military"
"384",3," florida are paid below national ","education"
"385",2," since became texas gone in country 50th the that from school ","education,new-hampshire-2012"
"386",5," says less 5 of ","city-government"
"387",2," the project by tom would a ","transportation"
"388",2," americans the 30 have than the of we spending child education the have worse ","education"
"389",0," polls that dont to the care ","health-care,polls"
"390",1," says bill voted the option the health act ","health-care"
"391",5," were for efforts for first take lead borders two cities ","state-finances"
"392",4," greg and have to who been victims rape incest what are is ","crime,ethics"
"393",5," on for ","energy,voting-record"
"394",0," under medical in you get you it ","florida-amendments,health-care,marijuana"
"395",4," a would in majority people to by public care ","health-care,privacy"
"396",2," the act amount expanding of offenders child and to weapons state ","crime,guns,legal-issues,public-safety"
"397",5," i missed vote ","history"
"398",0," says office saved million management for oversight public ","government-efficiency"
"399",3," says will more per to charter and budget are to charter ","education"
"400",1," wants impose income ","city-budget,deficit,economy,taxes"
"401",0," the court the two government ","history,supreme-court"
"402",4," 25 ri a record ","crime,criminal-justice,jobs,labor,legal-issues"
"403",2," deal the scholarship that georgians not able to or technical that to you give a at good ","education"
"404",2," as of i taxes almost times the almost i a of ","taxes"
"405",2," i taxes the been governor new ","taxes"
"406",1," public teach as as marriage ","families,gays-and-lesbians,marriage,religion"
"407",4," im of four five americans the ","candidates-biography"
"408",0," we accepting legal than ever in of united ","immigration"
"409",5," congress at and of but 2008 for ","foreign-policy,pundits,terrorism"
"410",2," six in as result not every ","health-care,medicaid,poverty"
"411",3," gov budget raises on businesses increases and by million ","state-budget,taxes"
"412",0," only washington politicians million teach how make ","federal-budget,government-efficiency"
"413",5," hillary off 47 of country her ","elections"
"414",1," put budgets cut in ","federal-budget,military"
"415",2," groups foreign are huge to american ","campaign-finance,corporations,abc-news-week"
"416",5," says cuts texas spending average less student ","education,state-budget"
"417",2," at current president will more to united of by of first than of previous combined ","federal-budget"
"418",2," we that arabia alqaida ","terrorism"
"419",3," says county duty never a felony ","candidates-biography"
"420",1," the numbers in our support ","campaign-finance,elections"
"421",3," 2 it for to for to the ","elections,labor"
"422",3," says the rate to improving does real creation its by of labor ","economy,jobs,pundits,abc-news-week"
"423",4," gov walker assembly scott to a on state system help the budget ","labor,state-budget"
"424",0," obama to off for american on ","iraq"
"425",3," in it wisconsins to bill to and union ","corporations,labor,sports,unions,workers"
"426",3," the defense of peoples of actually a social of a and it it civilian pulled from media ","foreign-policy,military"
"427",2," democrats kind other who raise faster like going raise between to percent ","taxes"
"428",3," right of highest growth is and weve jobs mostly within and sector these not jobs the department labor this industry with lowest wages the of earning or wage ","economy,jobs,labor"
"429",0," gov walker 80 for state we dont ","government-efficiency,state-budget,state-finances,transportation"
"430",2," says passed ones at security and sanctuary in ","candidates-biography,homeland-security,immigration,legal-issues,transportation"
"431",1," its to point the makes as as average sector ","economy,federal-budget,government-efficiency"
"432",1," these political on will all major care for million ","health-care,new-hampshire-2012,abc-news-week"
"433",0," says will from light as ","energy"
"434",5," before last you to back the early to three in row ","elections,history"
"435",0," jason supports georgia dollars obamacare ","health-care"
"436",3," the recent press has at percent any coverage mccain obama ","elections"
"437",2," dan said if get less a for same that not problem ","jobs,women"
"438",2," weve average suicide a ","health-care,veterans"
"439",0," there even republican who said you us we know we even additional agents ","immigration"
"440",5," today the time years plant is at ","jobs,trade"
"441",5," tom has voted every trade that ever before in ","jobs,trade"
"442",1," isis a miles texas ","immigration,military,terrorism"
"443",1," new estimate the care will trillion 10 well the billion ","health-care"
"444",4," say jersey donald and are who openly in us ","candidates-biography"
"445",4," the rate be high percent ","corrections-and-updates,economy,jobs"
"446",3," common is from government not on thing all ","children,education,federal-budget,government-regulation"
"447",1," social is a scheme ","social-security"
"448",0," says walker a independent police of he fund ","city-government,civil-rights,criminal-justice,public-safety,state-budget"
"449",3," what arizona does make state of that is crime ","immigration"
"450",4," the was congress exactly same the of that does were ","history,pop-culture,pundits,religion"
"451",3," in county at school million year recent ","education,immigration"
"452",1," the bill only billion earmarks ","federal-budget"
"453",5," trump the tax in ","candidates-biography,taxes"
"454",5," senator has talking earmarks thats but account of budget ","federal-budget"
"455",2," voted to taxes the of county made off tax her business its ","taxes"
"456",2," 60 would would workers the film at lawsuits ","government-regulation,public-health"
"457",5," we among highest in nation the of that ","transportation"
"458",2," against were to nearly georgia ","federal-budget,jobs"
"459",0," says estate were in to for ","health-care,taxes"
"460",2," says unemployment been near percent more the four and legislature much lower ","jobs"
"461",1," says voted sanctuary ","immigration"
"462",2," john voted trillion ","debt,federal-budget,message-machine-2012,voting-record"
"463",0," says mary told she have workers give healthcare benefits gov ","labor,state-budget,workers"
"464",5," mccain some the lobbyists washington run ","elections,ethics"
"465",0," we not to tax thats been the ","taxes,abc-news-week"
"466",2," terrorists more americans under reagan democrats make a ","congress,history,terrorism"
"467",3," this the time party up seats a election the making the majority any in than years ","elections,history"
"468",1," john this four ago he for ","job-accomplishments"
"469",5," house who they have time a ban oil through proposal just few to state to ","energy,environment,oil-spill"
"470",1," says from bush the republican convention there no bush the convention ","elections"
"471",4," crime ","crime,criminal-justice"
"472",3," is three more water i paying for water ","city-government,water"
"473",0," weve a tax thats it americans billion year with current code ","taxes"
"474",4," says portland muslim own provided room and them of five a to to ","religion"
"475",1," texas believe social va care ","social-security,veterans"
"476",2," the of people are with other these on up with own ","guns"
"477",1," in of the administration a without for of ","corporations,financial-regulation,market-regulation,abc-news-week,transportation"
"478",2," salaries faculty second last new land universities in percent major research ","education,labor,state-budget,state-finances"
"479",0," says congressman supports and voted president ability fight and climate ","climate-change,environment"
